dataset,model,weights,n_features_model,feature selection,selected_features,common_elements_random_choice,classifier_for_comparison,accuracy,f1,precision,recall,roc_auc
cats_and_dogs,maxvit_t,finetuned,512,random features,291,163,RandomForestClassifier,0.996155489107219,0.996227996647108,0.994144709326642,0.998320033599328,0.999491574705664
cats_and_dogs,maxvit_t,finetuned,512,random features,291,158,RandomForestClassifier,0.996369073045707,0.99643829876388,0.994147157190635,0.998740025199496,0.9995963444486
cats_and_dogs,maxvit_t,finetuned,512,random features,291,163,RandomForestClassifier,0.995941905168731,0.996014264736732,0.994970662196144,0.997060058798824,0.999695638420999
cats_and_dogs,maxvit_t,finetuned,512,random features,291,165,RandomForestClassifier,0.995514737291756,0.995598407042549,0.993723849372385,0.997480050398992,0.999504990343479
beans,resnet18,imagenet,512,all features,,,RandomForestClassifier,0.875,0.874090320114996,0.873858742463394,0.87578442229605,0.962452500379997
beans,resnet18,imagenet,512,brkga features,282,,RandomForestClassifier,0.8828125,0.883165621286645,0.884234711912337,0.883167220376523,0.961570364579941
beans,resnet18,imagenet,512,random features,282,160,RandomForestClassifier,0.875,0.874696647552778,0.87489233419466,0.875599852344038,0.955196187001933
beans,resnet18,imagenet,512,random features,282,153,RandomForestClassifier,0.8125,0.812129502963976,0.811327561327561,0.813399778516058,0.954818361453108
beans,resnet18,imagenet,512,random features,282,160,RandomForestClassifier,0.84375,0.843673810761675,0.845919324577861,0.844407530454042,0.952125811564936
beans,resnet18,imagenet,512,random features,282,161,RandomForestClassifier,0.84375,0.844196529186387,0.844454184499562,0.844407530454042,0.953801598158643
beans,resnet18,imagenet,512,random features,282,156,RandomForestClassifier,0.8125,0.812585499316005,0.811923218899963,0.813399778516058,0.954282022886674
beans,resnet18,imagenet,512,random features,282,158,RandomForestClassifier,0.8203125,0.820942593905032,0.821770025839793,0.821151716500554,0.955281957744338
beans,resnet18,imagenet,512,random features,282,161,RandomForestClassifier,0.8515625,0.85125398996808,0.850649350649351,0.85234403839055,0.952077497665733
beans,resnet18,imagenet,512,random features,282,164,RandomForestClassifier,0.8671875,0.867651888341544,0.867604617604618,0.867847914359542,0.956597832931622
beans,resnet18,imagenet,512,random features,282,163,RandomForestClassifier,0.859375,0.858144691383489,0.858728059941407,0.860095976375046,0.95140653160489
beans,resnet18,imagenet,512,random features,282,154,RandomForestClassifier,0.859375,0.859188326493388,0.858946608946609,0.859911406423034,0.947521334115042
beans,resnet34,imagenet,512,all features,,,RandomForestClassifier,0.8671875,0.867284844972472,0.867243867243867,0.867478774455519,0.963952402666493
beans,resnet34,imagenet,512,brkga features,288,,RandomForestClassifier,0.875,0.873783587509078,0.875487208868287,0.875415282392027,0.964267800143313
beans,resnet34,imagenet,512,random features,288,158,RandomForestClassifier,0.8359375,0.836286452565522,0.836286452565522,0.836286452565522,0.960051462445443
beans,resnet34,imagenet,512,random features,288,160,RandomForestClassifier,0.84375,0.844289899867993,0.844832327815879,0.84422296050203,0.959148155386186
beans,resnet34,imagenet,512,random features,288,157,RandomForestClassifier,0.8515625,0.850593772941227,0.855767963085036,0.851790328534515,0.963071352572037
beans,resnet34,imagenet,512,random features,288,163,RandomForestClassifier,0.8515625,0.851778872468528,0.851731601731602,0.851974898486526,0.958156363320522
beans,resnet34,imagenet,512,random features,288,166,RandomForestClassifier,0.8359375,0.834484951614844,0.834317534317534,0.836471022517534,0.952022126680129
beans,resnet34,imagenet,512,random features,288,162,RandomForestClassifier,0.875,0.873555987831748,0.87478330212884,0.875415282392027,0.958410961283738
beans,resnet34,imagenet,512,random features,288,166,RandomForestClassifier,0.8359375,0.833462532299742,0.834744802829909,0.836471022517534,0.951704014939309
beans,resnet34,imagenet,512,random features,288,162,RandomForestClassifier,0.8359375,0.835259711934952,0.835454224107458,0.836101882613511,0.948522354678306
beans,resnet34,imagenet,512,random features,288,175,RandomForestClassifier,0.8359375,0.835698348951361,0.837186472928559,0.836101882613511,0.946754283108592
beans,resnet34,imagenet,512,random features,288,167,RandomForestClassifier,0.84375,0.84319621987146,0.843584305408272,0.843853820598007,0.952170325494539
beans,mobilenet_v3_small,imagenet,576,all features,,,RandomForestClassifier,0.8671875,0.867925441781651,0.870612838697945,0.867294204503507,0.954812390072308
beans,mobilenet_v3_small,imagenet,576,brkga features,302,,RandomForestClassifier,0.8359375,0.836229398968159,0.838888888888889,0.836286452565522,0.954892189433913
beans,mobilenet_v3_small,imagenet,576,random features,302,150,RandomForestClassifier,0.8046875,0.804819277108434,0.806335409098772,0.805094130675526,0.943331596204373
beans,mobilenet_v3_small,imagenet,576,random features,302,156,RandomForestClassifier,0.8203125,0.821127531472359,0.821428571428572,0.820967146548542,0.942746943738736
beans,mobilenet_v3_small,imagenet,576,random features,302,166,RandomForestClassifier,0.8046875,0.805933896011855,0.806826687314492,0.80546327057955,0.94921666340955
beans,mobilenet_v3_small,imagenet,576,random features,302,166,RandomForestClassifier,0.8359375,0.836540133294697,0.836940836940837,0.836286452565522,0.947363363950231
beans,mobilenet_v3_small,imagenet,576,random features,302,151,RandomForestClassifier,0.828125,0.827338229925048,0.82698105081826,0.828719084533038,0.953520400408225
beans,mobilenet_v3_small,imagenet,576,random features,302,168,RandomForestClassifier,0.8359375,0.836219336219336,0.836353077816492,0.836655592469546,0.946580027359781
beans,mobilenet_v3_small,imagenet,576,random features,302,167,RandomForestClassifier,0.8515625,0.850014610082676,0.850181051394398,0.85234403839055,0.945814062058932
beans,mobilenet_v3_small,imagenet,576,random features,302,158,RandomForestClassifier,0.84375,0.843775649794802,0.843484680693983,0.84422296050203,0.955173387184331
beans,mobilenet_v3_small,imagenet,576,random features,302,164,RandomForestClassifier,0.828125,0.828812686644012,0.83964084695792,0.828534514581026,0.954100710051463
